"Realized Gain/Loss - Lot Details for Designated_Bene_Individual as of Mon Aug 24  11:04:26 EDT 2026 from 01/01/2026 to 08/24/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"ORCL 02/20/2026 220.00 C","CALL ORACLE CORP $220 EXP 02/20/26","02/20/2026","12/19/2025","4","$0.00","$5.77","$0.00","$2,306.64","-$2,306.64","-100%","","-$2,306.64","Short Term","$2,306.64","No","","02/20/2026","","","","","","",""
"ORCL 02/20/2026 230.00 C","CALL ORACLE CORP $230 EXP 02/20/26","02/20/2026","12/19/2025","4","$3.99","$0.00","$1,597.35","$0.00","$1,597.35","100%","","$1,597.35","Short Term","$0.00","No","","02/20/2026","","","","","","",""
"QCOM 02/13/2026 145.00 P","PUT QUALCOMM INC $145 EXP 02/13/26","02/13/2026","02/13/2026","1","$10.94","$6.10","$1,094.34","$609.66","$484.68","44.289708865618%","","$484.68","Short Term","$609.66","No","","02/12/2026","","","","","","",""
"QCOM 02/27/2026 141.00 P","PUT QUALCOMM INC $141 EXP 02/27/26","02/13/2026","02/13/2026","1","$4.19","$3.97","$419.34","$396.66","$22.68","5.408499069967%","","$22.68","Short Term","$396.66","No","","02/12/2026","","","","","","",""
"MSTR 02/13/2026 107.00 P","PUT STRATEGY INC $107 EXP 02/13/26","02/12/2026","02/12/2026","1","$6.46","$0.21","$646.34","$20.66","$625.68","96.803539932543%","","$625.68","Short Term","$20.66","No","","02/11/2026","","","","","","",""
"MSTR 02/06/2026 115.00 P","PUT STRATEGY INC $115 EXP 02/06/26","02/06/2026","02/06/2026","1","$1.15","$6.27","$115.34","$626.66","-$511.32","-443.315415293914%","","-$511.32","Short Term","$626.66","No","","02/05/2026","","","","","","",""
"QCOM 02/06/2026 145.00 P","PUT QUALCOMM INC $145 EXP 02/06/26","02/06/2026","02/06/2026","1","$1.42","$10.49","$142.34","$1,048.66","-$906.32","-636.728958830968%","","-$906.32","Short Term","$1,048.66","No","","02/05/2026","","","","","","",""
"ARM 02/06/2026 90.00 P","PUT ARM HLDGS PLC EQUITY ADR $90 EXP 02/06/26","02/05/2026","02/05/2026","1","$1.85","$0.39","$185.34","$38.66","$146.68","79.141038092155%","","$146.68","Short Term","$38.66","No","","02/04/2026","","","","","","",""
"COIN 02/13/2026 192.50 P","PUT COINBASE GLOBAL INC $192.5 EXP 02/13/26","02/05/2026","02/05/2026","1","$7.45","$23.85","$745.34","$2,384.66","-$1,639.32","-219.942576542249%","","-$1,639.32","Short Term","$2,384.66","No","","02/04/2026","","","","","","",""
"ORCL 02/06/2026 157.50 P","PUT ORACLE CORP $157.5 EXP 02/06/26","02/05/2026","02/05/2026","1","$4.04","$9.64","$404.34","$963.66","-$559.32","-138.329128950883%","","-$559.32","Short Term","$963.66","No","","02/04/2026","","","","","","",""
"AAL 02/20/2026 12.50 P","PUT AMERICAN AIRLS GROUP INC $12.5 EXP 02/20/26","02/04/2026","02/04/2026","10","$0.12","$0.11","$123.36","$106.61","$16.75","13.578145265888%","","$16.75","Short Term","$106.61","No","","02/03/2026","","","","","","",""
"BRKB 02/06/2026 470.00 P","PUT BERKSHIRE HATHAWAY $470 EXP 02/06/26","02/04/2026","02/04/2026","1","$1.01","$0.09","$101.34","$8.66","$92.68","91.454509571739%","","$92.68","Short Term","$8.66","No","","02/03/2026","","","","","","",""
"HD 02/06/2026 315.00 P","PUT HOME DEPOT INC $315 EXP 02/06/26","02/04/2026","02/04/2026","1","$1.08","$0.01","$108.34","$1.01","$107.33","99.067749676943%","","$107.33","Short Term","$1.01","No","","02/03/2026","","","","","","",""
"INTU 02/13/2026 535.00 P","PUT INTUIT $535 EXP 02/13/26","02/04/2026","02/04/2026","1","$4.49","$104.98","$449.34","$10,497.66","-$10,048.32","-2236.23981840032%","","-$10,048.32","Short Term","$10,497.66","No","","02/03/2026","","","","","","",""
"JPM 02/06/2026 295.00 P","PUT JPMORGAN CHASE & CO $295 EXP 02/06/26","02/04/2026","02/04/2026","1","$1.61","$0.24","$161.34","$23.66","$137.68","85.335316722449%","","$137.68","Short Term","$23.66","No","","02/03/2026","","","","","","",""
"MCD 02/06/2026 280.00 P","PUT MCDONALDS CORP $280 EXP 02/06/26","02/04/2026","02/04/2026","1","$0.75","$0.04","$75.34","$4.01","$71.33","94.677462171489%","","$71.33","Short Term","$4.01","No","","02/03/2026","","","","","","",""
"NVDA 02/06/2026 155.00 P","PUT NVIDIA CORP $155 EXP 02/06/26","02/04/2026","02/04/2026","1","$0.68","$0.11","$68.34","$10.66","$57.68","84.401521802751%","","$57.68","Short Term","$10.66","No","","02/03/2026","","","","","","",""
"OXY 02/06/2026 37.00 P","PUT OCCIDENTAL PETE CORP $37 EXP 02/06/26","02/04/2026","02/04/2026","4","$0.22","$0.10","$89.35","$38.64","$50.71","56.754336877448%","","$50.71","Short Term","$38.64","No","","02/03/2026","","","","","","",""
"OXY 02/06/2026 37.00 P","PUT OCCIDENTAL PETE CORP $37 EXP 02/06/26","02/04/2026","02/04/2026","1","$0.21","$0.10","$21.34","$9.66","$11.68","54.732895970009%","","$11.68","Short Term","$9.66","No","","02/03/2026","","","","","","",""
"PLTR 02/06/2026 145.00 P","PUT PALANTIR TECHNOLOGIES INC $145 EXP 02/06/26","02/04/2026","02/04/2026","1","$2.26","$0.60","$226.34","$59.66","$166.68","73.641424405761%","","$166.68","Short Term","$59.66","No","","02/03/2026","","","","","","",""
"AAPL 02/06/2026 230.00 P","PUT APPLE INC $230 EXP 02/06/26","02/03/2026","02/03/2026","1","$0.97","$0.04","$97.34","$4.01","$93.33","95.880419149373%","","$93.33","Short Term","$4.01","No","","02/02/2026","","","","","","",""
"AXP 02/06/2026 315.00 P","PUT AMERICAN EXPRESS CO $315 EXP 02/06/26","02/03/2026","02/03/2026","1","$1.89","$0.02","$189.34","$2.01","$187.33","98.93841766135%","","$187.33","Short Term","$2.01","No","","02/02/2026","","","","","","",""
"AVGO 01/30/2026 295.00 P","PUT BROADCOM INC $295 EXP 01/30/26","01/30/2026","01/30/2026","1","$2.28","$0.16","$228.34","$15.66","$212.68","93.141806078655%","","$212.68","Short Term","$15.66","No","","01/29/2026","","","","","","",""
"COIN 01/30/2026 205.00 P","PUT COINBASE GLOBAL INC $205 EXP 01/30/26","01/30/2026","01/30/2026","1","$1.19","$6.81","$119.34","$680.66","-$561.32","-470.353611530082%","","-$561.32","Short Term","$680.66","No","","01/29/2026","","","","","","",""
"NFLX 01/30/2026 81.00 P","PUT NETFLIX INC $81 EXP 01/30/26","01/30/2026","12/29/2025","1","$0.69","$0.00","$69.34","$0.00","$69.34","100%","","$69.34","Short Term","$0.00","No","","01/30/2026","","","","","","",""
"ORCL 01/30/2026 165.00 P","PUT ORACLE CORP $165 EXP 01/30/26","01/30/2026","01/30/2026","1","$1.15","$4.46","$115.34","$445.66","-$330.32","-286.388070053754%","","-$330.32","Short Term","$445.66","No","","01/29/2026","","","","","","",""
"ABBV 01/30/2026 200.00 P","PUT ABBVIE INC $200 EXP 01/30/26","01/27/2026","01/27/2026","1","$0.91","$0.02","$91.34","$2.01","$89.33","97.799430698489%","","$89.33","Short Term","$2.01","No","","01/26/2026","","","","","","",""
"CVX 01/30/2026 145.00 P","PUT CHEVRON CORP NEW $145 EXP 01/30/26","01/27/2026","01/27/2026","1","$0.61","$0.03","$61.34","$3.01","$58.33","95.0929246821%","","$58.33","Short Term","$3.01","No","","01/26/2026","","","","","","",""
"MSTR 01/30/2026 115.00 P","PUT STRATEGY INC $115 EXP 01/30/26","01/27/2026","01/27/2026","1","$1.23","$0.04","$123.34","$4.01","$119.33","96.748824387871%","","$119.33","Short Term","$4.01","No","","01/26/2026","","","","","","",""
"NFLX 01/23/2026 83.00 P","PUT NETFLIX INC $83 EXP 01/23/26","01/23/2026","01/06/2026","1","$1.12","$0.00","$112.34","$0.00","$112.34","100%","","$112.34","Short Term","$0.00","No","","01/23/2026","","","","","","",""
"MSFT 01/16/2026 445.00 P","PUT MICROSOFT CORP $445 EXP 01/16/26","01/20/2026","01/20/2026","1","$1.72","$0.03","$172.34","$3.01","$169.33","98.25345247766%","","$169.33","Short Term","$3.01","No","","01/16/2026","","","","","","",""
"MSFT 01/16/2026 445.00 P","PUT MICROSOFT CORP $445 EXP 01/16/26","01/20/2026","01/20/2026","1","$1.75","$0.03","$175.34","$3.01","$172.33","98.283335234402%","","$172.33","Short Term","$3.01","No","","01/16/2026","","","","","","",""
"NBIS 01/23/2026 68.00 P","PUT NEBIUS GROUP N V A $68 EXP 01/23/26","01/14/2026","01/14/2026","1","$1.07","$0.05","$107.34","$5.01","$102.33","95.33258803801%","","$102.33","Short Term","$5.01","No","","01/13/2026","","","","","","",""
"AMZN 01/16/2026 212.50 P","PUT AMAZON.COM INC $212.5 EXP 01/16/26","01/12/2026","01/12/2026","1","$0.68","$0.07","$68.34","$6.66","$61.68","90.254609306409%","","$61.68","Short Term","$6.66","No","","01/09/2026","","","","","","",""
"BA 01/09/2026 185.00 P","PUT BOEING CO $185 EXP 01/09/26","01/09/2026","01/09/2026","1","$0.54","$0.02","$54.34","$2.01","$52.33","96.301067353699%","","$52.33","Short Term","$2.01","No","","01/08/2026","","","","","","",""
"XOM 01/09/2026 108.00 P","PUT EXXON MOBIL CORP $108 EXP 01/09/26","01/08/2026","01/08/2026","1","$0.38","$0.01","$38.34","$1.01","$37.33","97.36567553469%","","$37.33","Short Term","$1.01","No","","01/07/2026","","","","","","",""
"NFLX 01/09/2026 91.00 P","PUT NETFLIX INC $91 EXP 01/09/26","01/07/2026","01/07/2026","1","$1.02","$1.08","$102.34","$107.66","-$5.32","-5.198358413133%","","-$5.32","Short Term","$107.66","No","","01/06/2026","","","","","","",""
"UNH 01/16/2026 300.00 P","PUT UNITEDHEALTH GROUP INC $300 EXP 01/16/26","01/07/2026","01/07/2026","1","$1.81","$0.15","$181.34","$14.66","$166.68","91.915738391971%","","$166.68","Short Term","$14.66","No","","01/06/2026","","","","","","",""
"MSTR 01/09/2026 125.00 P","PUT STRATEGY INC $125 EXP 01/09/26","01/06/2026","01/06/2026","1","$1.06","$0.05","$106.34","$5.01","$101.33","95.28869663344%","","$101.33","Short Term","$5.01","No","","01/05/2026","","","","","","",""
"AVGO 01/09/2026 290.00 P","PUT BROADCOM INC $290 EXP 01/09/26","01/05/2026","01/05/2026","1","$1.98","$0.03","$198.34","$3.01","$195.33","98.482403952808%","","$195.33","Short Term","$3.01","No","","01/02/2026","","","","","","",""
"COST 01/02/2026 810.00 P","PUT COSTCO WHSL CORP NEW $810 EXP 01/02/26","01/05/2026","01/05/2026","1","$2.29","$0.36","$229.34","$35.66","$193.68","84.451033400192%","","$193.68","Short Term","$35.66","No","","01/02/2026","","","","","","",""
"MSTR 01/02/2026 125.00 P","PUT STRATEGY INC $125 EXP 01/02/26","01/05/2026","01/05/2026","1","$0.59","$0.02","$59.34","$2.01","$57.33","96.612740141557%","","$57.33","Short Term","$2.01","No","","01/02/2026","","","","","","",""
"NKE 01/16/2026 53.00 P","PUT NIKE INC $53 EXP 01/16/26","01/05/2026","01/05/2026","2","$0.25","$0.02","$50.67","$4.02","$46.65","92.06631142688%","","$46.65","Short Term","$4.02","No","","01/02/2026","","","","","","",""
"ORCL 01/02/2026 160.00 P","PUT ORACLE CORP $160 EXP 01/02/26","01/02/2026","12/18/2025","1","$0.86","$0.00","$86.34","$0.00","$86.34","100%","","$86.34","Short Term","$0.00","No","","01/02/2026","","","","","","",""
